"","n.mar","length","ave.spacing","max.spacing"
"A1.1",70,208.874682704301,3.02716931455509,16.9354543453316
"3A.1",14,45.713407660506,3.51641597388507,10.6401393221993
"A1.2",31,136.341720753683,4.54472402512278,27.1260087827215
"7A.1",12,33.6840147459582,3.06218315872347,8.04189526181673
"4B",25,133.811556426433,5.57548151776806,29.3242776888925
"6A.1",18,46.7744387766693,2.7514375750982,7.64547757435346
"1B",92,283.981067377706,3.12067107008469,16.3060715296226
"5A.1",43,177.229350402611,4.21974643815741,15.2274683491749
"5A.2",16,56.5955088671008,3.77303392447339,9.4360659315308
"6A.2",51,83.535394693398,1.67070789386796,9.84793980536575
"6D",21,45.5626121286827,2.27813060643414,12.0228252209812
"6B.1",13,25.0618461747734,2.08848718123111,9.53211064720402
"Un",11,32.3140817561461,3.23140817561461,11.7338544029904
"5B",92,317.150472610174,3.48517002868323,17.6757311407811
"1D",26,62.1784901357833,2.48713960543133,22.0212094752901
"3A.2",41,226.540910123863,5.66352275309658,22.9113372520115
"4A",45,176.378288240212,4.00859746000481,23.6834248715182
"2B",126,490.98300094264,3.92786400754112,29.8490988038231
"2A",70,238.027322841008,3.44967134552185,21.7837292277763
"3B",35,252.891842056338,7.43799535459816,55.4142767239393
"6B.2",75,315.073794295527,4.25775397696659,39.3077834092656
"7A.2",85,353.447145140566,4.20770410881626,40.9807416608633
"overall",1012,3742.15094885408,3.77995045338796,55.4142767239393
